topology: 4 5 4
in: 1.580168 1.647697 2.64404 13.903011 
out: 1.571071 1.632941 2.627245 13.705806 
in: 1.569929 1.635875 2.630047 13.786577 
out: 1.570015 1.626784 2.620775 13.680706 
in: 1.578484 1.647193 2.643901 13.866172 
out: 1.573787 1.626339 2.623817 13.687429 
in: 1.582275 1.645289 2.640658 13.891985 
out: 1.572371 1.625688 2.620146 13.671013 
in: 1.576742 1.639038 2.633631 13.818733 
out: 1.572014 1.615323 2.603786 13.589211 
in: 1.578831 1.629494 2.623592 13.698682 
out: 1.567643 1.611457 2.594504 13.525627 
in: 1.571071 1.632941 2.627245 13.705806 
out: 1.567757 1.631903 2.628815 13.669832 
in: 1.570015 1.626784 2.620775 13.680706 
out: 1.577285 1.640927 2.638696 13.705025 
in: 1.573787 1.626339 2.623817 13.687429 
out: 1.5878 1.630035 2.60676 13.685407 
in: 1.572371 1.625688 2.620146 13.671013 
out: 1.591064 1.638587 2.605294 13.649588 
in: 1.572014 1.615323 2.603786 13.589211 
out: 1.5865 1.641841 2.608523 13.675136 
in: 1.567643 1.611457 2.594504 13.525627 
out: 1.586776 1.658442 2.634317 13.658653 
in: 1.567757 1.631903 2.628815 13.669832 
out: 1.592478 1.670123 2.658267 13.789745 
in: 1.577285 1.640927 2.638696 13.705025 
out: 1.593503 1.664958 2.650631 13.800377 
in: 1.5878 1.630035 2.60676 13.685407 
out: 1.594038 1.669865 2.65354 13.834109 
in: 1.591064 1.638587 2.605294 13.649588 
out: 1.597439 1.676389 2.649403 13.885342 
in: 1.5865 1.641841 2.608523 13.675136 
out: 1.594519 1.652021 2.599148 13.739969 
in: 1.586776 1.658442 2.634317 13.658653 
out: 1.587659 1.648336 2.593774 13.66132 
in: 1.592478 1.670123 2.658267 13.789745 
out: 1.579058 1.655504 2.594031 13.671907 
in: 1.593503 1.664958 2.650631 13.800377 
out: 1.58011 1.649765 2.594033 13.662568 
in: 1.594038 1.669865 2.65354 13.834109 
out: 1.585941 1.655155 2.606132 13.689846 
in: 1.597439 1.676389 2.649403 13.885342 
out: 1.585941 1.655155 2.606132 13.689846 
in: 1.594519 1.652021 2.599148 13.739969 
out: 1.587782 1.659653 2.614274 13.749245 
in: 1.587659 1.648336 2.593774 13.66132 
out: 1.5829 1.656281 2.606878 13.750445 
in: 1.579058 1.655504 2.594031 13.671907 
out: 1.588623 1.653803 2.591856 13.779085 
in: 1.58011 1.649765 2.594033 13.662568 
out: 1.5825 1.666447 2.617869 13.824118 
in: 1.585941 1.655155 2.606132 13.689846 
out: 1.581158 1.668629 2.625411 13.778007 
in: 1.585941 1.655155 2.606132 13.689846 
out: 1.579532 1.681773 2.64551 13.845981 
in: 1.587782 1.659653 2.614274 13.749245 
out: 1.580084 1.684401 2.645847 13.862463 
in: 1.5829 1.656281 2.606878 13.750445 
out: 1.578073 1.679673 2.638013 13.816621 
in: 1.588623 1.653803 2.591856 13.779085 
out: 1.576627 1.694048 2.660863 13.966435 
in: 1.5825 1.666447 2.617869 13.824118 
out: 1.575358 1.713619 2.693704 13.99049 
in: 1.581158 1.668629 2.625411 13.778007 
out: 1.573157 1.708238 2.688185 13.968416 
in: 1.579532 1.681773 2.64551 13.845981 
out: 1.56697 1.724495 2.709533 14.018609 
in: 1.580084 1.684401 2.645847 13.862463 
out: 1.555644 1.704491 2.667797 13.872185 
in: 1.578073 1.679673 2.638013 13.816621 
out: 1.558712 1.707868 2.663708 13.917403 
in: 1.576627 1.694048 2.660863 13.966435 
out: 1.561119 1.735194 2.692974 14.032903 
in: 1.575358 1.713619 2.693704 13.99049 
out: 1.558724 1.748735 2.698066 14.145783 
in: 1.573157 1.708238 2.688185 13.968416 
out: 1.531188 1.717244 2.661615 13.935338 
in: 1.56697 1.724495 2.709533 14.018609 
out: 1.532006 1.711457 2.653659 13.974693 
in: 1.555644 1.704491 2.667797 13.872185 
out: 1.535861 1.708297 2.644419 13.939896 
in: 1.558712 1.707868 2.663708 13.917403 
out: 1.52409 1.67769 2.607894 13.744694 
in: 1.561119 1.735194 2.692974 14.032903 
out: 1.503301 1.654607 2.578397 13.618683 
in: 1.558724 1.748735 2.698066 14.145783 
out: 1.503301 1.654607 2.578397 13.618683 
in: 1.531188 1.717244 2.661615 13.935338 
out: 1.517652 1.657834 2.57403 13.672214 
in: 1.532006 1.711457 2.653659 13.974693 
out: 1.497101 1.648377 2.561623 13.546697 
in: 1.535861 1.708297 2.644419 13.939896 
